"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Planned and Approved","World Logistics Center","TBD","2025","2650","63499000"
"Planned and Approved","Legacy Highlands Phase II Specific Plan","TBD","2025","1386","33207000"
"Planned and Approved","Airport Gateway Specific Plan Area","TBD","2025","613","14689000"
"Planned and Approved","Stoneridge Commerce Center","TBD","2025","606","14523000"
"Planned and Approved","Speedway Commerce Center","TBD","2025","464","11118000"
"Planned and Approved","Serrano Commerce Center","TBD","2025","392","9400000"
"Planned and Approved","Merril Commerce Center Specific Plan Area","TBD","2025","384","9198000"
"Planned and Approved","Beaumont Pointe","TBD","2025","371","8878000"
"Planned and Approved","SunsetCrossroads","TBD","2025","282","6747000"
"Existing","051513138","storage building","2021","275","6581000"
"Planned and Approved","Apple Valley 143","TBD","2025","241","5782000"
"Planned and Approved","South Ontario Logistics Center","TBD","2025","238","5700000"
"Existing","046323158","distribution warehouse","2003","225","5400000"
"Planned and Approved","The Hub Industrial Development","TBD","2025","218","5221000"
"Existing","8014 Marine Way Irvine, CA 92618","warehouse","1980","202","4849000"
"Planned and Approved","Hesperia Commerce Center II","TBD","2025","192","4597000"
"Planned and Approved","Renaissance Ranch Commerce Center","TBD","2025","161","3853000"
"Existing","049202124","storage warehouse","2016","151","3616000"
"Planned and Approved","South Perris Industrial Project","TBD","2025","144","3453000"
"Planned and Approved","Veteran's Industrial Park","TBD","2025","130","3113000"
"Existing","668280017","warehouse/dry storage","1980","128","3075000"
"Planned and Approved","PotreroLogistics","TBD","2025","115","2748000"
"Planned and Approved","west valley logistics center","TBD","2025","112","2692000"
"Existing","046323161","distribution warehouse","2018","106","2550000"
"Existing","156150069","light industrial","1987","106","2530000"
"Planned and Approved","Oak Valley Town Center","TBD","2025","104","2499000"
"Planned and Approved","I-15 Industrial Park Area","TBD","2025","101","2427000"
"Existing","33608 Ortega Hwy San Juan Capistrano, CA 92675","warehouse","1980","100","2390000"
"Planned and Approved","Project Viento","TBD","2025","99","2380000"
"Planned and Approved","Chino Majestic Heritage","TBD","2025","98","2358000"
"Planned and Approved","Ontario Ranch","TBD","2025","94","2246000"
"Existing","023812175","distribution warehouse","1996","93","2239000"
"Existing","312250043","warehouse/dry storage","2004","91","2178000"
"Existing","407220022","warehouse/mega","2022","90","2160000"
"Planned and Approved","Bridge Point Rancho Cucamonga Project","TBD","2025","87","2078000"
"Existing","3114-011-029","Warehousing, Distribution, Storage","1999","85","2037000"
"Planned and Approved","Oleander Business Park","TBD","2025","85","2037000"
"Existing","302050035","warehouse/dry storage","1980","83","1995000"
"Existing","488350052","warehouse/dry storage","2011","82","1975000"
"Planned and Approved","United States Cold Storage Hesperia","TBD","2025","80","1926000"
"Existing","303040001","warehouse/dry storage","2004","80","1924000"
"Existing","302080033","warehouse/dry storage","2021","80","1911000"
"Existing","303110001","warehouse/dry storage","1980","80","1911000"
"Planned and Approved","The Development at Dale Evans and Lafayette","TBD","2025","79","1887000"
"Existing","294670004","light industrial","2020","78","1877000"
"Existing","8082-003-010","Warehousing, Distribution, Storage","1980","76","1822000"
"Planned and Approved","Menifee Commerce Center (Core 5)","TBD","2025","76","1818000"
"Existing","105439102","distribution warehouse","2021","76","1814000"
"Existing","9300 Toledo Way Irvine, CA 92618","warehouse","1980","75","1790000"
"Existing","045821201","storage hangar","2005","75","1787000"
"Existing","111015101","distribution warehouse","1990","74","1770000"
"Existing","303030019","warehouse/dry storage","2000","74","1767000"
"Existing","156080031","ct-light industrial","1998","74","1762000"
"Existing","316020046","light industrial","2014","72","1735000"
"Planned and Approved","No. 21-15","TBD","2025","72","1723000"
"Planned and Approved","Interchange Logistics Center 2","TBD","2025","72","1722000"
"Existing","316211028","warehouse/dry storage","2018","71","1707000"
"Existing","021126319","transit warehouse (truck terminal)","1992","70","1681000"
"Planned and Approved","The District at Jurupa Valley","TBD","2025","70","1667000"
"Existing","102610103","distribution warehouse","2015","68","1639000"
"Existing","7351-003-013","Warehousing, Distribution, Storage","1998","67","1613000"
"Existing","2826-004-043","Warehousing, Distribution, Storage","1980","67","1595000"
"Existing","424010021","warehouse/mega","1980","66","1579000"
"Planned and Approved","Northern Gateway Commerce Center","TBD","2025","66","1577000"
"Existing","025918141","distribution warehouse","2020","64","1544000"
"Existing","648050012","light industrial","1980","64","1538000"
"Existing","532110017","warehouse/mega","2021","64","1533000"
"Existing","156150070","light industrial","2011","63","1506000"
"Existing","316100060","warehouse/mega","2019","63","1504000"
"Existing","156030029","light industrial","1980","63","1502000"
"Existing","107311124","distribution warehouse","2021","62","1480000"
"Existing","021121315","storage warehouse","1992","61","1459000"
"Existing","034815125","transit warehouse (truck terminal)","2007","61","1459000"
"Existing","016757105","distribution warehouse","2007","60","1445000"
"Existing","303070016","warehouse/dry storage","2009","60","1438000"
"Existing","303934116","distribution warehouse","2022","60","1430000"
"Existing","023808145","distribution warehouse","1980","59","1423000"
"Existing","294640034","ct-warehouse/cold storage","2019","59","1421000"
"Existing","013634165","distribution warehouse","2004","58","1391000"
"Existing","175170049","warehouse/dry storage","1980","58","1385000"
"Planned and Approved","Northern Gateway Commerce Center I","TBD","2025","58","1385000"
"Existing","312250046","warehouse/dry storage","2005","57","1375000"
"Existing","303090035","warehouse/dry storage","2018","57","1372000"
"Existing","024025155","distribution warehouse","2018","57","1364000"
"Planned and Approved","Bloomington 2","TBD","2025","56","1348000"
"Existing","013634188","distribution warehouse","2002","56","1343000"
"Existing","029207155","distribution warehouse","2009","56","1333000"
"Existing","303050004","warehouse/mega","2021","55","1324000"
"Existing","029204149","distribution warehouse","2020","55","1311000"
"Existing","023802176","distribution warehouse","2010","54","1295000"
"Existing","107313101","distribution warehouse","2021","54","1290000"
"Existing","026002122","distribution warehouse","1999","54","1286000"
"Planned and Approved","Meridian D1 Gateway Aviation Project","TBD","2025","53","1274000"
"Planned and Approved","West Campus Mega 1","TBD","2025","53","1267000"
"Existing","330030020","ct-light industrial","1997","53","1262000"
"Existing","297100084","warehouse/mega","2019","53","1260000"
"Existing","175170048","light industrial","2021","52","1253000"
"Existing","045919405","distribution warehouse","2007","52","1252000"
"Existing","024017132","distribution warehouse","2005","52","1240000"
"Existing","026002144","distribution warehouse","2003","52","1239000"
"Planned and Approved","Homestead Industrial Project","TBD","2025","52","1238000"
"Planned and Approved","Homestead Industrial Project","TBD","2025","52","1238000"
"Planned and Approved","Bloomington 4","TBD","2025","52","1236000"
"Existing","297170087","light industrial","2007","51","1233000"
"Planned and Approved","Commerce Pointe (PacTen)","TBD","2025","51","1220000"
"Existing","016751129","flex","2015","51","1211000"
"Planned and Approved","Ottawa Business Center","TBD","2025","50","1200000"
"Existing","025918142","distribution warehouse","2020","50","1196000"
"Existing","013634184","distribution warehouse","2005","50","1187000"
"Planned and Approved","Ninth and Vineyard","TBD","2025","49","1186000"
"Existing","316211002","warehouse/mega","2018","49","1178000"
"Existing","488330040","ct-light industrial","2015","49","1177000"
"Existing","108335105","distribution warehouse","1998","49","1175000"
"Existing","024025150","distribution warehouse","2017","49","1170000"
"Planned and Approved","The Landing","TBD","2025","49","1170000"
"Existing","407220021","warehouse/mega","2022","48","1156000"
"Existing","294110010","warehouse/dry storage","2017","48","1154000"
"Existing","013636136","distribution warehouse","2012","48","1148000"
"Existing","316020050","warehouse/dry storage","2016","48","1147000"
"Existing","263021003","warehouse/mega","2019","48","1141000"
"Existing","107311118","distribution warehouse","2020","48","1141000"
"Existing","016751109","distribution warehouse","2003","48","1140000"
"Existing","107315116","distribution warehouse","2021","48","1139000"
"Existing","022913131","distribution warehouse","2014","47","1138000"
"Existing","025217367","transit warehouse (truck terminal)","2001","47","1133000"
"Planned and Approved","Ramona Gateway","TBD","2025","47","1124000"
"Existing","302120024","warehouse/mega","2020","47","1123000"
"Existing","012815142","distribution warehouse","1998","47","1122000"
"Existing","417020076","warehouse/dry storage","2005","46","1112000"
"Planned and Approved","Temescal Valley Commerce Center","TBD","2025","46","1112000"
"Planned and Approved","West Campus Mega 2","TBD","2025","46","1093000"
"Planned and Approved","Menifee Commerce Center II","TBD","2025","45","1085000"
"Existing","294070025","ct-warehouse/dry storage","2013","45","1079000"
"Existing","424050020","warehouse/mega","2019","45","1068000"
"Existing","263020066","warehouse/dry storage","1980","45","1067000"
"Existing","263310015","ct-warehouse/dry storage","1994","44","1064000"
"Existing","160510007","warehouse/dry storage","1980","44","1061000"
"Existing","156360017","light industrial","1995","44","1055000"
"Planned and Approved","Heacock Commerce Center","TBD","2025","44","1053000"
"Existing","012815138","distribution warehouse","1990","44","1045000"
"Existing","294110011","light industrial","2018","44","1042000"
"Planned and Approved","Nova Battery Storage","TBD","2025","43","1034000"
"Existing","156020052","warehouse/dry storage","2000","43","1030000"
"Existing","025507155","flex","2017","43","1029000"
"Existing","302030012","warehouse/dry storage","2017","43","1025000"
"Existing","024025148","flex","2017","43","1023000"
"Existing","026013133","distribution warehouse","2007","43","1022000"
"Existing","023815213","cold storage facility","1991","43","1020000"
"Existing","045919402","distribution warehouse","2008","43","1019000"
"Existing","305020031","light industrial","2000","42","1013000"
"Existing","314160032","light industrial","2018","42","1007000"
"Existing","027613181","distribution warehouse","2001","42","1007000"
"Existing","156340042","warehouse/dry storage","1998","42","1006000"
"Existing","727092026","ct-warehouse/cold storage","2005","42","1005000"
"Existing","011031151","distribution warehouse","2016","42","1003000"
"Existing","309119123","storage warehouse","1988","42","1001000"
"Existing","6800 Valley View St Buena Park, CA 90620","warehouse","1980","42","1001000"
"Existing","648150029","light industrial","1986","42","999000"
"Planned and Approved","OLC3 Warehouse","TBD","2025","42","998000"
"Existing","021007246","distribution warehouse","2004","41","971000"
"Existing","111804105","distribution warehouse","2015","41","970000"
"Existing","309119113","distribution warehouse","2000","40","958000"
"Planned and Approved","i-15 logistics center","TBD","2025","40","954000"
"Existing","023813226","light industrial","1985","40","951000"
"Existing","8541-017-049","Warehousing, Distribution, Storage","2017","40","951000"
"Existing","763320040","ct-warehouse/cold storage","1998","40","949000"
"Existing","026204240","distribution warehouse","2015","40","948000"
"Planned and Approved","Stoddard Wells Road at Abbey Lane Industrial Project","TBD","2025","40","948000"
"Existing","013637139","distribution warehouse","2013","39","943000"
"Existing","022937114","distribution warehouse","2005","39","941000"
"Existing","532130008","light industrial","2022","39","937000"
"Existing","8719-007-043","Warehousing, Distribution, Storage","2005","39","937000"
"Existing","424050018","warehouse/dry storage","1980","39","936000"
"Existing","022938105","flex","2002","39","934000"
"Planned and Approved","Pepper 210 Commerce Center","TBD","2025","39","934000"
"Existing","666120012","warehouse/dry storage","1998","39","933000"
"Existing","046031232","light industrial","1988","39","932000"
"Existing","105632104","distribution warehouse","2014","39","924000"
"Existing","488330044","warehouse/mega","2018","39","923000"
"Planned and Approved","Capstone Industrial","TBD","2025","39","923000"
"Planned and Approved","west valley logistics center","TBD","2025","38","921000"
"Existing","230260008","light industrial","1980","38","920000"
"Existing","2836-006-040","Warehousing, Distribution, Storage","1980","38","919000"
"Existing","022937120","distribution warehouse","2002","38","915000"
"Planned and Approved","Bloomington 3","TBD","2025","38","912000"
"Existing","057327109","storage warehouse","1997","38","905000"
"Existing","108315105","distribution warehouse","1999","38","904000"
"Existing","026604182","distribution warehouse","2017","38","902000"
"Existing","3033-010-047","Warehousing, Distribution, Storage","2000","38","899000"
"Planned and Approved","Rider and Patterson Business Center","TBD","2025","37","897000"
"Existing","314180030","warehouse/mega","2019","37","896000"
"Existing","330070015","light industrial","1986","37","896000"
"Existing","025508156","distribution warehouse","2019","37","892000"
"Existing","042627127","storage building","2006","37","892000"
"Existing","156050022","warehouse/dry storage","2002","37","891000"
"Existing","303080019","warehouse/dry storage","2016","37","891000"
"Existing","029204417","distribution warehouse","2015","37","891000"
"Existing","111924124","distribution warehouse","2016","37","890000"
"Existing","105437105","distribution warehouse","2017","37","887000"
"Existing","016755108","distribution warehouse","2001","37","884000"
"Existing","5593-020-025","Warehousing, Distribution, Storage","1980","37","879000"
"Planned and Approved","Rancho 38 Industrial Project","TBD","2025","36","872000"
"Existing","026007218","transit warehouse (truck terminal)","2019","36","871000"
"Existing","316170027","warehouse/dry storage","2014","36","870000"
"Existing","024023138","distribution warehouse","2016","36","869000"
"Existing","023803131","flex","2004","36","864000"
"Existing","029207157","distribution warehouse","2013","36","863000"
"Existing","670040007","light industrial","1980","36","861000"
"Existing","263320013","ct-warehouse/dry storage","1994","36","860000"
"Existing","016314118","light industrial","2022","36","860000"
"Existing","026604180","distribution warehouse","2007","36","859000"
"Existing","023811147","flex","2000","36","858000"
"Existing","777 S Harbor Blvd La Habra, CA 90631","warehouse","1980","36","858000"
"Existing","294100045","warehouse/mega","2021","36","857000"
"Existing","302070020","warehouse/dry storage","2012","36","857000"
"Existing","22 Brookline Aliso Viejo, CA 92656","warehouse","1980","36","856000"
"Existing","257040024","warehouse/dry storage","2020","36","854000"
"Existing","011343109","flex","2002","36","854000"
"Planned and Approved","Mapes Commerce Center","TBD","2025","36","853000"
"Existing","029205316","distribution warehouse","2015","36","852000"
"Existing","028143102","distribution warehouse","2015","35","849000"
"Planned and Approved","Bloomington 1","TBD","2025","35","845000"
"Planned and Approved","McLaughlin San Jacinto Warehouses","TBD","2025","35","845000"
"Existing","026204239","distribution warehouse","2014","35","844000"
"Existing","316180013","light industrial","2012","35","838000"
"Existing","023205143","distribution warehouse","2016","35","836000"
"Existing","295310069","warehouse/dry storage","2019","35","834000"
"Existing","160040033","light industrial","2005","35","832000"
"Existing","023816179","flex","1995","35","832000"
"Existing","102040023","light industrial","1980","35","829000"
"Existing","026002115","distribution warehouse","2014","35","829000"
"Existing","029204210","distribution warehouse","2006","35","829000"
"Existing","025709136","distribution warehouse","2019","35","827000"
"Existing","156040066","warehouse/dry storage","2001","34","815000"
"Existing","023805244","distribution warehouse","2001","34","815000"
"Existing","2629-001-010","Warehousing, Distribution, Storage","2012","34","815000"
"Existing","160510006","warehouse/dry storage","2018","34","811000"
"Existing","023816148","flex","2014","34","811000"
"Existing","7412-026-016","Warehousing, Distribution, Storage","2001","34","808000"
"Existing","016754109","distribution warehouse","2012","34","803000"
"Existing","488350060","warehouse/mega","2021","33","802000"
"Existing","026013134","distribution warehouse","2007","33","797000"
"Planned and Approved","Knox Business Park Bldg. D","TBD","2025","33","796000"
"Existing","107313103","distribution warehouse","2020","33","794000"
"Existing","8218-007-015","Warehousing, Distribution, Storage","1980","33","794000"
"Existing","297100095","warehouse/mega","2020","33","793000"
"Existing","8059-005-046","Warehousing, Distribution, Storage","2005","33","792000"
"Planned and Approved","OliveAvenue","TBD","2025","33","792000"
"Existing","023814414","distribution warehouse","1998","33","791000"
"Existing","8760-029-026","Warehousing, Distribution, Storage","1988","33","791000"
"Planned and Approved","Adelanto 35 Development Project","TBD","2025","33","787000"
"Existing","330080036","light industrial","1995","33","786000"
"Existing","026011315","distribution warehouse","2006","33","786000"
"Existing","314170019","warehouse/mega","2018","33","785000"
"Existing","108335106","distribution warehouse","2000","33","785000"
"Planned and Approved","Altitude Business Centre","TBD","2025","33","783000"
"Existing","021126111","distribution warehouse","1998","33","782000"
"Existing","297110046","warehouse/mega","2019","32","779000"
"Existing","8242-030-018","Warehousing, Distribution, Storage","1980","32","778000"
"Existing","012806329","flex","2006","32","777000"
"Existing","023806311","flex","2003","32","777000"
"Existing","011031150","distribution warehouse","2016","32","774000"
"Existing","8719-007-050","Warehousing, Distribution, Storage","2006","32","774000"
"Existing","8348-022-047","Warehousing, Distribution, Storage","1980","32","773000"
"Existing","312250059","light industrial","2018","32","769000"
"Existing","016755109","distribution warehouse","2006","32","769000"
"Existing","026201151","distribution warehouse","2008","32","769000"
"Existing","024024169","distribution warehouse","2017","32","768000"
"Existing","316100047","warehouse/dry storage","2006","32","764000"
"Existing","023810154","distribution warehouse","1980","32","764000"
"Existing","156050019","warehouse/dry storage","1998","32","761000"
"Existing","8719-007-042","Warehousing, Distribution, Storage","2005","32","759000"
"Existing","8002-019-043","Warehousing, Distribution, Storage","1980","32","759000"
"Existing","317240001","warehouse/mega","2021","32","758000"
"Existing","025506129","distribution warehouse","2006","32","758000"
"Existing","025506128","distribution warehouse","2006","32","758000"
"Existing","049719210","light industrial","1980","32","756000"
"Existing","105637108","distribution warehouse","2014","31","754000"
"Existing","040507250","distribution warehouse","1997","31","753000"
"Existing","016750111","flex","2005","31","752000"
"Existing","113318121","distribution warehouse","2016","31","748000"
"Existing","156340056","light industrial","2006","31","747000"
"Existing","021130112","distribution warehouse","2001","31","744000"
"Existing","909370045","light industrial","2009","31","741000"
"Planned and Approved","Barton Rd Logistics Center Building B","TBD","2025","31","741000"
"Existing","021128134","distribution warehouse","1999","31","740000"
"Existing","295310054","warehouse/dry storage","2013","31","739000"
"Existing","107313102","distribution warehouse","2020","31","739000"
"Existing","023806207","flex","2017","31","737000"
"Existing","105446105","distribution warehouse","2018","31","734000"
"Existing","417020077","light industrial","2013","31","732000"
"Existing","302070031","light industrial","2020","30","728000"
"Existing","263050085","ct-light industrial","1989","30","727000"
"Existing","023816171","distribution warehouse","1991","30","727000"
"Existing","294180052","warehouse/dry storage","1980","30","726000"
"Existing","021128159","flex","2008","30","726000"
"Existing","263060041","light industrial","2014","30","722000"
"Existing","156360042","ct-warehouse/dry storage","1996","30","721000"
"Existing","263050084","warehouse/dry storage","2017","30","721000"
"Existing","8168-016-042","Warehousing, Distribution, Storage","1980","30","720000"
"Existing","5211-019-024","Warehousing, Distribution, Storage","1980","30","716000"
"Existing","8264-026-803","Warehousing, Distribution, Storage","1980","30","715000"
"Planned and Approved","OrchardLogistics","TBD","2025","30","713000"
"Existing","024023135","light industrial","2016","30","712000"
"Existing","024018151","distribution warehouse","2015","30","707000"
"Existing","111601118","distribution warehouse","2012","30","707000"
"Existing","303130040","warehouse/mega","2020","29","705000"
"Existing","297232004","ct-warehouse/dry storage","2006","29","705000"
"Existing","156340054","light industrial","2000","29","705000"
"Existing","023810185","storage warehouse","2014","29","705000"
"Existing","309057104","distribution warehouse","2001","29","705000"
"Existing","011349182","light industrial","2005","29","704000"
"Existing","8577-007-023","Warehousing, Distribution, Storage","2020","29","704000"
"Existing","297080015","warehouse/mega","2019","29","703000"
"Existing","105449102","distribution warehouse","2020","29","703000"
"Existing","156140060","light industrial","2020","29","700000"
"Existing","400 E Orangethorpe Ave Anaheim, CA 92801","warehouse","1980","29","699000"
"Existing","021126110","distribution warehouse","1998","29","694000"
"Existing","013647214","flex","2013","29","692000"
"Existing","108332102","distribution warehouse","2000","29","691000"
"Existing","156040071","light industrial","2000","29","690000"
"Existing","282160025","light industrial","1980","29","689000"
"Existing","921020043","ct-light industrial","1987","29","688000"
"Existing","312250049","light industrial","1980","29","686000"
"Existing","024018149","distribution warehouse","2004","29","686000"
"Existing","263240047","warehouse/mega","1980","29","685000"
"Existing","8760-023-030","Warehousing, Distribution, Storage","1990","29","683000"
"Existing","021126113","flex","2008","28","682000"
"Existing","013824126","transit warehouse (truck terminal)","2001","28","681000"
"Existing","8719-005-015","Warehousing, Distribution, Storage","1999","28","681000"
"Planned and Approved","Speedway Commerce Center","TBD","2025","28","681000"
"Existing","021121117","flex","2012","28","680000"
"Existing","021128144","distribution warehouse","2001","28","677000"
"Planned and Approved","Ares warehouse on Murrieta","TBD","2025","28","677000"
"Existing","025215196","distribution warehouse","2013","28","674000"
"Existing","7352-003-069","Warehousing, Distribution, Storage","2001","28","673000"
"Existing","045904142","distribution warehouse","2022","28","670000"
"Existing","156050023","warehouse/dry storage","2004","28","669000"
"Existing","779050018","warehouse/dry storage","1999","28","668000"
"Existing","021817118","light industrial","1981","28","668000"
"Existing","025803113","transit warehouse (truck terminal)","2000","28","667000"
"Existing","029205420","distribution warehouse","2016","28","667000"
"Existing","029204313","distribution warehouse","2006","28","667000"
"Existing","3107-027-050","Warehousing, Distribution, Storage","1998","28","666000"
"Existing","029205130","distribution warehouse","2011","28","664000"
"Existing","6245-016-930","Warehousing, Distribution, Storage","1990","28","664000"
"Existing","8535-001-036","Warehousing, Distribution, Storage","1992","28","662000"
"Existing","029207220","distribution warehouse","2016","28","660000"
"Existing","029205125","distribution warehouse","2007","28","660000"
"Existing","022928369","light industrial","2008","28","659000"
"Existing","024017131","distribution warehouse","2004","27","659000"
"Existing","024026174","flex","2016","28","659000"
"Existing","025215198","distribution warehouse","2013","28","659000"
"Existing","160040030","warehouse/dry storage","1980","27","658000"
"Existing","156080016","ct-light industrial","2011","27","658000"
"Existing","156040064","light industrial","1998","27","656000"
"Existing","023719151","distribution warehouse","2015","27","654000"
"Existing","022913130","distribution warehouse","2014","27","653000"
"Existing","111924120","distribution warehouse","2018","27","653000"
"Existing","297130063","ct-light industrial","2006","27","651000"
"Existing","029207156","distribution warehouse","2017","27","649000"
"Existing","156040072","light industrial","2001","27","646000"
"Planned and Approved","Barton Rd Logistics Center Building A","TBD","2025","27","646000"
"Existing","294070038","warehouse/dry storage","2018","27","645000"
"Existing","013636139","distribution warehouse","2013","27","645000"
"Existing","105638104","distribution warehouse","2014","27","645000"
"Existing","6565 Knott Ave Buena Park, CA 90620","warehouse","1980","27","645000"
"Existing","8719-005-014","Warehousing, Distribution, Storage","2007","27","644000"
"Existing","314310019","light industrial","2019","27","642000"
"Existing","023808142","light industrial","1980","27","642000"
"Existing","297230031","warehouse/dry storage","2013","27","641000"
"Existing","022902160","distribution warehouse","2019","27","638000"
"Existing","029204209","distribution warehouse","2006","27","638000"
"Existing","023802186","distribution warehouse","2018","27","637000"
"Existing","021128157","flex","2008","26","635000"
"Existing","14300 Alton Pky Irvine, CA 92618","warehouse","1980","26","634000"
"Existing","6241-018-022","Warehousing, Distribution, Storage","2009","26","632000"
"Existing","101110018","light industrial","1993","26","631000"
"Existing","8245-002-025","Warehousing, Distribution, Storage","1980","26","629000"
"Existing","023803127","distribution warehouse","2003","26","628000"
"Existing","023803126","flex","2004","26","627000"
"Existing","029712215","storage building","1980","26","627000"
"Existing","283160046","light industrial","1980","26","626000"
"Existing","156040080","light industrial","1980","26","626000"
"Existing","5410-015-018","Warehousing, Distribution, Storage","1999","26","626000"
"Existing","160510005","warehouse/dry storage","2001","26","625000"
"Existing","029205224","distribution warehouse","2012","26","625000"
"Existing","016768109","distribution warehouse","2002","26","623000"
"Existing","023401116","flex","2006","26","623000"
"Existing","023808180","distribution warehouse","1997","26","622000"
"Existing","7001-020-013","Warehousing, Distribution, Storage","1996","26","622000"
"Existing","297150056","light industrial","2013","26","621000"
"Existing","025507154","flex","2017","26","619000"
"Planned and Approved","First March Logistics Project","TBD","2025","26","618000"
"Planned and Approved","west valley logistics center","TBD","2025","26","617000"
"Existing","105443103","distribution warehouse","2015","26","615000"
"Existing","302170017","warehouse/dry storage","2017","26","614000"
"Existing","8577-007-021","Warehousing, Distribution, Storage","2019","26","614000"
"Existing","029205129","distribution warehouse","2008","26","613000"
"Existing","294180055","warehouse/mega","2021","26","612000"
"Existing","105437104","distribution warehouse","2019","26","612000"
"Existing","156150053","light industrial","1998","25","609000"
"Existing","1452 Alton Pky Irvine, CA 92606","warehouse","1980","25","607000"
"Existing","1 Edwards Way Irvine, CA 92614","warehouse","1980","25","607000"
"Existing","306636129","light industrial","1981","25","605000"
"Planned and Approved","Duke Warehouse","TBD","2025","25","601000"
"Existing","737190015","ct-warehouse/cold storage","1985","25","600000"
"Existing","249060033","ct-warehouse/cold storage","2012","25","600000"
"Existing","042131357","transit warehouse (truck terminal)","1980","25","599000"
"Existing","763400021","ct-light industrial","1980","25","598000"
"Existing","023802102","flex","2013","25","598000"
"Existing","302150030","warehouse/dry storage","1980","25","597000"
"Existing","023416111","cold storage facility","2008","25","596000"
"Existing","023809138","transit warehouse (truck terminal)","2002","25","594000"
"Existing","023813222","light industrial","1994","25","594000"
"Existing","156080032","ct-light industrial","1980","25","592000"
"Existing","294050080","warehouse/dry storage","2016","25","589000"
"Existing","178350028","light industrial","1991","25","589000"
"Existing","011031146","distribution warehouse","2016","25","589000"
"Existing","8719-007-048","Warehousing, Distribution, Storage","2007","25","588000"
"Existing","8125-015-014","Warehousing, Distribution, Storage","2004","24","586000"
"Existing","016764107","distribution warehouse","2001","24","585000"
"Existing","023615167","transit warehouse (truck terminal)","1982","24","584000"
"Existing","6134-021-016","Warehousing, Distribution, Storage","2016","24","584000"
"Existing","8069-012-008","Warehousing, Distribution, Storage","1980","24","583000"
"Existing","6134-021-015","Warehousing, Distribution, Storage","2016","24","583000"
"Existing","026002125","transit warehouse (truck terminal)","2001","24","582000"
"Existing","297170069","light industrial","2007","24","581000"
"Existing","025804144","distribution warehouse","2020","24","581000"
"Existing","302110040","warehouse/dry storage","2017","24","580000"
"Existing","2060 N Batavia St Orange, CA 92865","warehouse","1980","24","580000"
"Existing","026602154","transit warehouse (truck terminal)","2020","24","579000"
"Existing","263070054","light industrial","2003","24","578000"
"Existing","666370022","light industrial","1985","24","577000"
"Existing","014801154","distribution warehouse","2007","24","577000"
"Existing","023815223","distribution warehouse","1989","24","577000"
"Existing","021007245","distribution warehouse","2002","24","575000"
"Existing","156360016","light industrial","1995","24","574000"
"Planned and Approved","Airport_Lot_44_Victorville","TBD","2025","24","574000"
"Existing","156140061","warehouse/dry storage","2020","24","573000"
"Existing","394070023","light industrial","1980","24","573000"
"Existing","163400018","light industrial","1990","24","572000"
"Existing","297160005","warehouse/mega","2021","24","571000"
"Existing","023808167","distribution warehouse","1989","24","571000"
"Existing","6335-007-023","Warehousing, Distribution, Storage","1999","24","570000"
"Existing","745360004","light industrial","2007","24","569000"
"Existing","129200010","light industrial","2022","24","569000"
"Existing","023401112","distribution warehouse","2004","24","569000"
"Planned and Approved","Pepper Ave Industrial Development Project","TBD","2025","24","567000"
"Existing","160510004","light industrial","2018","24","566000"
"Existing","013639144","distribution warehouse","2005","24","566000"
"Existing","2825-012-011","Warehousing, Distribution, Storage","1980","24","565000"
"Existing","023418112","light industrial","1985","24","564000"
"Existing","500 E Orangethorpe Ave Anaheim, CA 92801","warehouse","1980","24","564000"
"Existing","023802158","flex","2000","24","563000"
"Existing","156090034","light industrial","2002","23","562000"
"Existing","5901 Bolsa Ave Huntington Beach, CA 92647","warehouse","1980","23","561000"
"Existing","294210060","warehouse/mega","2018","23","560000"
"Existing","727091002","ct-light industrial","1980","23","560000"
"Existing","022928361","light industrial","1985","23","560000"
"Existing","023814412","transit warehouse (truck terminal)","1999","23","560000"
"Existing","013634187","distribution warehouse","2018","23","558000"
"Existing","022937123","flex","2005","23","558000"
"Planned and Approved","Mountain View Industrial","TBD","2025","23","557000"
"Planned and Approved","South Campus Reg3","TBD","2025","23","556000"
"Planned and Approved","West Campus Mega 3","TBD","2025","23","555000"
"Existing","029207218","distribution warehouse","2015","23","554000"
"Existing","029203317","flex","2016","23","553000"
"Existing","330070014","light industrial","1980","23","552000"
"Existing","022901241","distribution warehouse","2000","23","552000"
"Existing","2761-001-095","Warehousing, Distribution, Storage","1980","23","552000"
"Existing","022926368","distribution warehouse","2003","23","550000"
"Existing","8417-001-027","Warehousing, Distribution, Storage","2011","23","550000"
"Existing","8760-029-037","Warehousing, Distribution, Storage","1991","23","549000"
"Existing","25952 Commercentre Dr Lake Forest, CA 92630","warehouse","1980","23","547000"
"Existing","25862 Commercentre Dr Lake Forest, CA 92630","warehouse","1980","23","547000"
"Existing","294100020","warehouse/mega","2020","23","546000"
"Existing","016768107","distribution warehouse","2006","23","546000"
"Existing","022929131","light industrial","1997","23","546000"
"Existing","7001-010-082","Warehousing, Distribution, Storage","2018","23","545000"
"Existing","022901244","flex","2003","23","544000"
"Existing","2840-007-902","Warehousing, Distribution, Storage","1980","23","544000"
"Existing","105446106","distribution warehouse","2017","23","542000"
"Existing","2001 E Orangethorpe Ave Fullerton, CA 92831","warehouse","1980","23","542000"
